Customer ID,total_transaction,total_unit,total_price,average_order_value,purchase_frequency,profit_margin,customer_value,cltv,segment
12346.0,1,74215,77183.6,77183.6,0.00023046784973496196,7718.360000000001,17.788338326803412,398748.86940829986,A
12347.0,7,2458,4310.000000000001,615.7142857142859,0.0016132749481447338,431.0000000000001,0.9933164323576864,1243.3801874163325,A
12348.0,4,2341,1797.24,449.31,0.0009218713989398478,179.72400000000002,0.41420603825766306,216.2029195180723,A
12349.0,1,631,1757.5500000000002,1757.5500000000002,0.00023046784973496196,175.75500000000002,0.40505876930168244,206.7591701807229,A
12350.0,1,197,334.40000000000003,334.40000000000003,0.00023046784973496196,33.440000000000005,0.07706844895137129,7.484829986613119,C
12352.0,8,536,2506.0400000000004,313.25500000000005,0.0018437427978796957,250.60400000000004,0.5775616501498042,420.36388765729595,A
12353.0,1,20,89.0,89.0,0.00023046784973496196,8.9,0.020511638626411616,0.5301874163319946,D
12354.0,1,530,1079.3999999999999,1079.3999999999999,0.00023046784973496196,107.94,0.2487669970039179,77.98556626506021,B
12355.0,1,240,459.4,459.4,0.00023046784973496196,45.94,0.10587693016824153,14.126396251673357,C
12356.0,3,1591,2811.43,937.1433333333333,0.0006914035492048859,281.143,0.6479442267803641,529.0588115729583,A
12357.0,1,2708,6207.67,6207.67,0.00023046784973496196,620.767,1.4306683567642313,2579.328435669344,A
12358.0,2,248,1168.06,584.03,0.0004609356994699239,116.806,0.26920027656141965,91.32290251673358,B
12359.0,4,1622,6372.58,1593.145,0.0009218713989398478,637.258,1.4686748098640239,2718.1911550468535,A
12360.0,3,1165,2662.06,887.3533333333334,0.0006914035492048859,266.206,0.6135192440654529,474.33490251673356,A
12361.0,1,91,189.89999999999998,189.89999999999998,0.00023046784973496196,18.99,0.04376584466466927,2.413789156626505,D
12362.0,10,2229,5226.23,522.6229999999999,0.00230467849734962,522.6229999999999,1.2044779903203502,1828.21151358099,A
12363.0,2,408,552.0,276.0,0.0004609356994699239,55.2,0.127218253053699,20.39518072289156,C
12364.0,4,1506,1313.1000000000001,328.27500000000003,0.0009218713989398478,131.31000000000003,0.30262733348697857,115.4104156626506,B
12365.0,2,174,641.3799999999999,320.68999999999994,0.0004609356994699239,64.13799999999999,0.1478174694630099,27.534692396251664,C
12367.0,1,173,168.89999999999998,168.89999999999998,0.00023046784973496196,16.889999999999997,0.03892601982023507,1.9094518072289146,D
12370.0,4,2353,3545.6899999999996,886.4224999999999,0.0009218713989398478,354.56899999999996,0.8171675501267572,841.4938136613117,A
12371.0,2,591,1887.96,943.98,0.0004609356994699239,188.79600000000002,0.4351140815856188,238.58051951807226,A
12372.0,3,794,1298.0400000000002,432.68000000000006,0.0006914035492048859,129.80400000000003,0.2991564876699701,112.77830265060244,B
12373.0,1,197,364.6,364.6,0.00023046784973496196,36.46,0.08402857801336713,8.897801874163319,C
12374.0,1,342,742.93,742.93,0.00023046784973496196,74.29299999999999,0.17122147960359527,36.9441087617135,B
12375.0,2,178,457.5,228.75,0.0004609356994699239,45.75,0.10543904125374509,14.009789156626502,C
12377.0,2,944,1628.12,814.06,0.0004609356994699239,162.812,0.3752293155104862,177.42802773761707,B
12378.0,1,2529,4008.62,4008.62,0.00023046784973496196,400.862,0.9238580318045632,1075.5712385809904,A
